Item No.,Part Name,Quantity,Price,Currency,Total
1,TowerPro MG946R Digital High Torque Metal Gear Servo Motor,18,8626,INR,8626
2,Mega 2560 ATmega2560-16AU Board plus USB Cable compatible with Arduino,1,1151.37,INR,1151.37
3,16-Channel 12-bit PWM/Servo Driver I2C interface PCA9685 for Arduino Raspberry Pi,2,460,INR,460
4,GL-12 840 Points Solderless Breadboard,1,62,INR,62
5,Male To Male Jumper Wires 40 Pcs 10cm,1,45,INR,45
6,Male to Male Jumper Wires 40 Pin 30cm,2,140,INR,140
7,Male to Female Jumper Wires 40 Pin 40cm,2,180,INR,180
8,HC-SR04 Ultrasonic Range Finder Sensor Module for Arduino,4,280,INR,280
9,686ZZ Shielded Miniature Ball Bearings 6×13×5mm (Pack of 4),2,460,INR,460
10,Pro-Range 22.2V 1000mAh 35C 6S Lithium Polymer Battery Pack,1,2709,INR,2709
11,Official Arduino Mega Proto Shield Rev3 A000080,1,799,INR,799
12,Servo Driver Module Shield 16 Channel,2,1140,INR,1140
13,Cable for Arduino UNO/MEGA (USB A to B)-1M,1,54,INR,54
14,"2.4"" Inch Touch Screen TFT Display Shield for Arduino UNO Mega",1,479,INR,479
15,Soldering kit with Multimeter (Intermediate 8 in 1),1,903.87,INR,903.87
16,Seeed Studio XIAO ESP32C6,1,981,INR,981
17,Custom PCB from JLCPCB,1,2000,INR,2000
18,3D printing credits,1,20,USD,20
,,,,,
,,,,total,$233 
